Voltage (V),Current (A),Temperature (°C),Vibration (mm/s),Label
475.98,0.22,110.13,28.9,high
469.02,1.99,99.93,21.47,high
417.81,31.14,74.09,3.37,moderate
419.82,11.59,53.82,2.87,normal
385.33,7.57,54.6,5.0,low
390.9,10.8,58.74,5.04,low
349.12,32.96,41.35,16.51,moderate
391.03,15.18,68.23,4.54,low
346.89,13.29,80.0,12.46,moderate
303.73,47.93,109.85,28.3,high
398.16,6.92,62.71,4.02,low
417.12,12.49,33.59,6.71,low
350.91,25.44,78.68,0.86,moderate
206.29,1.93,97.32,20.07,high
347.39,11.03,71.22,18.16,moderate
475.47,1.22,92.19,29.5,high
354.06,12.01,46.31,17.99,moderate
397.75,15.09,37.27,2.73,normal
235.07,0.73,99.74,26.3,high
405.24,12.48,83.12,17.56,moderate
389.34,31.57,74.03,19.97,moderate
393.77,15.2,66.89,0.54,low
412.59,29.89,89.0,18.68,moderate
401.5,16.29,38.56,5.19,low
396.26,5.65,50.87,9.6,low
367.15,19.68,31.17,6.14,low
416.28,14.69,60.38,5.78,low
348.34,16.82,42.88,17.15,moderate
391.53,12.46,39.34,0.3,normal
244.39,40.4,93.99,27.53,high
359.05,11.18,74.17,18.84,moderate
467.7,37.22,118.18,24.11,high
478.35,1.55,113.41,29.61,high
382.99,15.87,73.66,12.85,moderate
418.73,33.61,34.99,14.05,moderate
394.99,10.53,87.72,18.12,moderate
394.24,11.49,33.06,4.98,normal
408.11,34.36,75.96,14.82,moderate
416.44,13.59,56.3,3.24,normal
366.88,8.0,30.37,4.88,low
337.84,43.15,110.18,24.34,high
466.22,47.34,94.69,21.36,high
246.35,44.03,90.68,26.19,high
246.84,0.65,115.6,22.82,high
245.71,1.58,97.4,22.43,high
479.84,0.51,110.22,20.49,high
394.74,10.82,66.97,9.33,low
382.11,10.72,30.29,7.86,low
393.18,15.5,52.08,4.75,normal
408.36,28.12,72.23,12.56,moderate
460.77,38.31,110.24,27.34,high
475.63,1.57,90.67,25.5,high
286.34,1.56,118.29,29.15,high
231.16,48.62,113.26,28.21,high
399.87,27.39,47.08,11.71,moderate
477.54,41.84,112.59,28.94,high
347.81,12.83,33.62,16.71,moderate
401.46,19.05,31.7,2.39,normal
207.25,0.09,105.88,20.07,high
356.02,32.12,47.82,14.16,moderate
271.46,1.24,99.89,21.78,high
391.49,12.84,64.51,9.04,low
409.05,14.24,48.19,1.95,normal
474.29,45.97,101.52,21.77,high
378.2,16.79,39.86,8.22,low
383.38,12.67,48.35,0.46,normal
418.2,17.69,33.03,5.11,low
389.51,15.61,69.79,2.02,low
411.35,25.93,74.96,18.34,moderate
376.93,16.26,64.95,2.76,low
386.57,16.12,52.17,0.63,normal
359.31,12.28,88.03,19.8,moderate
395.81,15.79,44.54,3.83,normal
295.09,42.21,108.11,21.11,high
417.99,8.1,33.68,7.77,low
387.16,34.67,37.2,18.07,moderate
401.82,28.21,47.41,12.12,moderate
418.4,10.35,38.81,3.77,normal
388.47,19.35,54.7,3.28,normal
243.62,0.7,112.94,24.04,high
248.46,0.81,100.04,27.78,high
349.62,13.92,79.05,10.25,moderate
405.66,14.08,62.18,5.97,low
342.94,32.15,70.31,3.15,moderate
403.27,15.76,40.94,4.31,normal
367.7,11.54,65.71,0.32,low
382.8,19.4,69.16,1.68,low
404.22,7.54,62.38,1.17,low
391.39,16.32,39.67,0.65,normal
416.17,34.35,41.1,17.23,moderate
327.74,1.97,96.43,25.31,high
405.33,18.17,38.15,7.24,low
392.99,7.06,60.07,3.25,low
348.86,16.6,70.65,12.91,moderate
418.03,17.86,34.54,5.76,low
407.61,19.09,46.34,0.1,normal
466.05,1.04,118.67,20.72,high
408.6,33.58,86.87,15.19,moderate
378.99,13.74,35.09,5.38,low
398.13,34.65,82.57,14.59,moderate
392.37,15.55,52.56,3.06,normal
381.51,14.85,41.13,0.26,normal
346.25,34.24,40.47,0.69,moderate
376.41,9.53,38.07,2.13,low
402.55,10.85,30.07,2.34,normal
214.47,35.67,108.36,25.5,high
415.79,12.9,45.47,4.61,normal
397.2,5.65,31.55,3.49,low
385.32,18.38,32.4,3.08,normal
365.43,11.2,60.03,0.33,low
365.91,17.87,40.85,9.94,low
356.54,26.85,86.9,1.52,moderate
359.16,29.3,77.69,2.51,moderate
414.13,27.91,38.22,14.37,moderate
336.78,43.14,98.68,22.48,high
411.95,19.59,49.19,2.79,normal
416.56,13.14,55.17,8.97,low
395.71,13.76,60.88,1.71,low
384.96,19.89,87.53,11.25,moderate
380.5,8.5,65.48,0.36,low
402.72,29.29,73.87,2.76,moderate
467.42,48.77,111.33,27.37,high
394.94,18.49,37.27,5.95,low
393.31,28.84,73.35,3.49,moderate
394.23,9.18,39.08,2.27,low
201.15,0.89,90.95,22.39,high
406.43,34.35,78.96,19.21,moderate
354.85,27.99,87.56,1.19,moderate
388.86,12.21,66.14,0.66,low
415.57,18.32,54.09,3.2,normal
381.15,6.24,62.72,1.6,low
405.52,25.97,75.22,19.72,moderate
464.4,40.5,109.69,21.44,high
388.51,17.55,45.86,4.08,normal
206.0,44.08,93.23,28.08,high
399.57,11.64,30.44,4.16,normal
414.36,12.62,66.53,9.95,low
380.56,6.11,48.05,1.36,low
413.2,10.91,63.99,2.6,low
409.95,17.33,46.44,3.15,normal
398.34,19.7,63.53,2.63,low
357.58,32.99,39.63,2.66,moderate
355.68,33.91,40.09,12.43,moderate
264.21,48.94,100.73,21.49,high
462.12,49.18,113.27,28.28,high
375.36,19.42,53.5,6.88,low
282.7,0.29,100.88,29.11,high
412.4,12.75,69.98,8.36,low
354.67,11.14,42.15,13.15,moderate
362.29,12.57,54.54,2.8,low
464.49,46.5,118.64,24.22,high
266.8,1.44,104.17,20.81,high
383.46,28.9,89.28,3.46,moderate
400.97,15.21,53.0,4.04,normal
410.15,19.51,47.17,4.97,normal
465.97,46.11,104.82,29.73,high
467.18,0.43,91.03,26.54,high
354.47,29.92,45.43,1.49,moderate
260.73,40.77,119.32,26.73,high
365.86,19.82,49.05,2.95,low
208.3,1.35,103.35,29.06,high
470.99,48.7,98.2,28.59,high
410.0,19.75,80.9,16.23,moderate
419.97,15.99,69.43,0.84,low
412.87,5.02,65.79,3.88,low
353.52,34.38,76.48,4.31,moderate
295.08,1.87,105.63,24.93,high
401.61,19.71,41.37,1.85,normal
247.77,0.67,104.33,27.36,high
346.72,18.26,58.38,16.27,moderate
407.57,9.7,60.34,1.59,low
381.4,17.41,45.97,1.08,normal
416.22,19.89,43.67,3.23,normal
409.78,31.3,71.84,2.58,moderate
406.37,13.95,35.66,3.67,normal
479.35,36.79,102.13,27.12,high
416.09,14.9,62.65,0.49,low
397.12,6.49,35.47,2.4,low
398.84,11.79,37.29,0.96,normal
403.28,19.84,61.71,9.64,low
318.01,41.07,93.48,23.73,high
328.74,1.98,94.19,27.07,high
375.95,6.28,54.14,2.88,low
400.25,18.06,81.05,13.46,moderate
390.29,26.64,84.01,2.67,moderate
391.37,9.49,37.46,1.37,low
360.39,13.91,67.84,4.67,low
336.98,48.88,107.33,23.91,high
355.56,17.2,74.89,2.39,moderate
381.64,27.48,77.49,17.63,moderate
383.55,26.7,79.87,19.67,moderate
351.84,27.52,52.29,3.17,moderate
410.17,10.38,44.89,4.26,normal
416.97,16.85,45.84,4.19,normal
411.77,14.27,56.08,0.9,normal
412.95,17.79,32.72,0.14,normal
410.39,18.49,68.45,0.03,low
247.7,44.37,104.68,27.49,high
359.02,11.23,72.32,15.3,moderate
408.36,14.53,63.46,6.28,low
383.48,18.96,69.51,2.21,low
368.95,8.22,42.0,4.01,low
364.44,13.26,61.05,1.94,low
401.16,13.25,47.85,3.68,normal
409.44,10.78,51.03,0.76,normal
342.57,19.99,30.04,14.31,moderate
349.7,34.31,70.52,2.4,moderate
401.03,11.35,54.08,3.53,normal
399.01,15.21,46.6,3.68,normal
397.17,16.56,32.51,3.1,normal
354.57,12.14,86.63,0.29,moderate
357.98,28.36,76.55,2.5,moderate
349.76,28.78,33.79,14.68,moderate
415.41,34.22,73.89,15.17,moderate
399.39,18.32,67.09,8.62,low
358.31,17.16,73.51,1.34,moderate
406.4,18.02,42.78,3.77,normal
419.41,11.06,52.08,0.76,normal
395.39,19.94,47.2,2.94,normal
355.08,15.68,84.87,4.92,moderate
261.67,0.25,92.64,22.8,high
411.74,10.56,51.58,2.94,normal
403.9,18.78,41.5,0.81,normal
362.51,16.69,47.74,8.81,low
363.78,16.06,45.16,3.5,low
476.86,1.1,104.54,25.64,high
350.78,31.89,52.48,2.94,moderate
356.34,26.44,48.08,15.45,moderate
357.13,27.78,53.72,1.64,moderate
210.48,1.51,113.88,24.38,high
298.08,1.49,92.44,28.49,high
246.28,41.55,100.78,23.29,high
388.16,8.48,31.8,0.37,low
355.67,18.32,86.95,11.85,moderate
364.4,14.8,61.83,2.54,low
394.84,16.39,30.3,3.67,normal
467.6,35.87,113.18,24.78,high
354.34,29.49,82.58,3.09,moderate
403.79,18.62,38.92,4.4,normal
396.86,15.0,40.93,4.01,normal
304.0,40.29,117.42,22.21,high
351.45,34.23,33.82,16.02,moderate
217.75,45.42,117.96,27.62,high
394.55,17.8,73.95,14.91,moderate
225.46,39.69,108.17,23.63,high
394.15,10.36,35.73,4.45,normal
401.09,6.83,56.87,1.71,low
276.52,40.3,94.85,26.5,high
401.54,14.46,33.87,1.53,normal
226.05,44.52,112.94,25.74,high
261.2,1.02,90.5,28.66,high
466.09,45.75,91.48,23.38,high
353.3,31.97,52.32,0.11,moderate
476.87,37.88,96.13,26.87,high
399.2,19.37,42.31,0.09,normal
418.98,34.41,70.43,13.56,moderate
203.16,37.19,113.0,24.92,high
412.78,28.69,80.51,13.52,moderate
304.86,47.64,111.77,25.29,high
370.63,17.45,48.63,5.34,low
465.37,1.14,109.44,23.11,high
388.38,8.07,32.93,7.47,low
393.8,7.96,54.33,0.6,low
390.65,16.5,32.19,3.31,normal
360.63,6.35,50.23,4.73,low
332.37,1.26,117.71,26.95,high
389.74,13.68,41.65,3.86,normal
364.14,19.68,34.93,8.4,low
393.34,15.15,52.71,0.38,normal
355.64,14.58,88.44,19.59,moderate
391.45,15.38,48.34,0.17,normal
369.04,11.67,42.83,6.79,low
384.36,16.27,32.01,4.86,normal
412.83,7.58,34.1,1.92,low
348.25,15.06,47.67,10.81,moderate
470.81,1.2,104.11,26.11,high
346.17,25.26,45.36,0.7,moderate
470.17,46.6,98.05,27.5,high
374.36,8.62,42.92,4.34,low
387.68,25.43,85.44,10.16,moderate
412.96,15.46,30.02,2.0,normal
341.63,33.38,56.87,19.41,moderate
351.5,34.89,72.5,4.61,moderate
461.39,0.86,117.43,21.43,high
284.84,1.55,95.02,28.87,high
410.03,18.71,66.3,5.49,low
392.47,11.68,69.91,4.23,low
464.59,0.37,108.94,29.52,high
348.1,10.97,84.57,19.99,moderate
384.34,13.23,35.42,6.81,low
355.83,13.33,49.18,12.72,moderate
465.52,40.1,105.6,23.44,high
391.26,16.94,38.15,4.92,normal
407.43,11.27,55.0,0.35,normal
395.56,18.22,65.52,5.32,low
390.75,10.07,69.27,3.24,low
409.99,13.85,50.23,5.23,low
384.65,12.86,47.22,2.96,normal
460.61,39.78,108.88,28.17,high
363.96,15.18,37.24,7.23,low
398.3,13.1,52.07,9.95,low
416.43,30.95,40.93,11.06,moderate
403.08,12.32,62.1,0.67,low
361.66,16.52,35.25,8.79,low
388.12,18.22,54.74,1.47,normal
415.36,19.63,37.21,4.52,normal
419.2,16.43,58.5,4.77,normal
407.13,19.91,32.33,9.57,low
387.14,30.54,34.53,10.1,moderate
344.06,15.67,80.54,10.93,moderate
412.03,17.78,59.08,4.62,normal
396.42,15.28,50.43,2.68,normal
347.43,18.2,35.93,15.78,moderate
393.22,14.87,35.86,4.02,normal
401.42,15.39,53.81,3.63,normal
385.1,15.0,52.53,3.19,normal
281.37,48.0,115.9,29.17,high
348.31,14.75,83.82,12.58,moderate
398.26,10.4,55.92,5.41,low
252.05,0.78,114.79,20.14,high
477.34,49.82,119.53,27.13,high
397.29,13.16,55.1,2.61,normal
390.6,17.37,59.59,2.98,normal
247.5,0.29,101.68,25.2,high
412.53,18.12,38.96,1.2,normal
376.45,18.22,30.32,8.07,low
391.17,19.89,71.53,11.62,moderate
476.92,47.26,94.36,27.3,high
343.24,33.4,77.75,1.58,moderate
416.83,25.55,84.84,17.75,moderate
412.42,14.41,37.88,1.55,normal
265.52,0.71,96.0,29.37,high
324.9,42.7,117.85,21.47,high
410.99,11.11,34.5,4.98,normal
381.86,26.53,59.34,18.29,moderate
345.07,26.08,47.95,2.07,moderate
419.15,6.79,59.24,4.92,low
394.76,15.5,49.16,3.0,normal
360.33,15.01,44.72,7.11,low
388.85,12.06,33.87,0.09,normal
409.73,13.94,48.12,2.53,normal
393.46,14.5,37.33,3.07,normal
381.86,9.02,36.67,2.21,low
289.75,48.94,100.02,21.21,high
322.57,0.7,97.74,29.1,high
336.15,47.93,93.35,29.18,high
403.47,19.93,45.92,8.2,low
240.55,44.95,92.73,24.4,high
410.91,10.9,51.97,0.65,normal
385.88,14.72,45.94,3.37,normal
461.07,1.8,115.15,24.31,high
306.72,1.61,111.5,21.86,high
349.0,28.56,37.24,18.92,moderate
357.25,28.13,44.42,13.72,moderate
387.58,19.43,34.57,9.1,low
400.29,10.85,34.52,0.93,normal
393.09,14.03,32.31,0.68,normal
408.9,7.31,43.4,5.15,low
391.37,11.4,30.91,1.51,normal
410.51,25.44,71.99,4.79,moderate
417.21,19.4,31.64,0.11,normal
373.75,16.0,31.82,7.16,low
319.58,0.98,117.52,24.19,high
358.28,17.56,79.48,1.27,moderate
352.89,30.38,53.45,17.38,moderate
327.19,1.8,102.88,20.25,high
395.03,19.0,52.34,3.06,normal
414.24,8.9,53.42,1.05,low
350.16,18.22,33.53,10.51,moderate
419.61,18.11,33.87,3.13,normal
400.06,6.73,65.01,0.89,low
382.58,14.0,32.46,4.13,normal
401.26,10.72,66.46,0.86,low
410.4,31.92,79.07,0.16,moderate
460.27,0.29,105.03,24.44,high
385.13,34.48,84.04,16.31,moderate
461.85,0.89,102.29,25.44,high
357.22,12.88,89.54,2.63,moderate
359.77,27.91,35.02,3.99,moderate
395.94,16.53,51.33,0.71,normal
461.26,0.58,113.28,20.42,high
401.47,14.64,43.65,1.79,normal
416.34,7.55,37.41,9.09,low
477.7,49.7,110.27,23.21,high
473.3,1.88,109.88,27.52,high
409.55,18.07,54.74,3.08,normal
419.43,18.7,43.55,4.31,normal
234.72,0.98,91.59,28.76,high
347.63,25.79,72.33,0.42,moderate
389.84,17.04,32.0,2.1,normal
419.11,15.33,44.75,1.92,normal
460.89,0.45,117.56,20.54,high
471.07,1.87,119.42,28.36,high
412.59,10.78,30.87,2.14,normal
398.55,18.79,56.76,3.73,normal
411.64,32.23,86.95,10.73,moderate
387.62,11.07,35.74,3.87,normal
417.25,13.06,35.14,3.99,normal
460.95,0.93,110.8,27.18,high
393.62,15.73,52.88,0.18,normal
370.02,18.04,52.03,0.51,low
395.54,17.64,59.77,3.41,normal
378.6,12.96,59.61,6.87,low
415.25,10.87,45.08,8.33,low
413.74,11.14,35.91,0.09,normal
399.99,10.96,49.89,3.26,normal
479.69,44.37,91.48,21.38,high
400.13,17.04,57.35,3.34,normal
350.57,26.67,54.59,13.43,moderate
342.61,10.84,40.43,14.62,moderate
387.11,15.4,48.52,1.3,normal
402.05,17.63,50.17,2.42,normal
345.61,34.64,77.99,0.68,moderate
470.91,1.1,102.08,26.07,high
382.52,13.32,63.47,1.14,low
390.88,17.64,69.06,3.51,low
461.27,1.65,95.34,25.66,high
387.42,15.23,32.97,8.26,low
378.75,9.4,43.14,4.02,low
388.76,14.02,31.71,1.67,normal
334.51,45.58,118.92,28.88,high
413.42,9.56,39.89,7.28,low
382.16,12.27,52.6,9.45,low
383.3,11.33,69.38,6.19,low
347.12,15.59,71.37,11.43,moderate
417.47,8.4,39.59,6.87,low
380.82,5.75,63.67,4.2,low
202.99,1.6,103.9,22.74,high
405.55,13.41,34.36,3.87,normal
396.2,12.66,46.45,4.19,normal
464.07,36.5,97.4,21.69,high
360.84,15.54,52.34,0.24,low
412.37,17.84,34.63,7.1,low
350.01,11.87,78.91,19.91,moderate
410.55,16.65,60.95,6.71,low
206.8,1.49,114.63,26.94,high
399.87,12.93,45.55,1.78,normal
389.17,11.32,66.48,4.32,low
230.76,0.13,106.98,23.37,high
384.53,16.57,43.79,4.63,normal
297.3,44.03,106.9,20.46,high
410.46,14.16,57.44,0.83,normal
386.87,31.77,84.59,17.94,moderate
376.7,5.33,56.8,1.26,low
390.69,12.52,35.95,1.37,normal
382.62,5.13,66.97,4.63,low
419.88,19.04,60.95,1.65,low
347.48,31.21,43.43,2.44,moderate
397.5,19.96,70.59,12.78,moderate
399.36,14.33,45.88,1.85,normal
468.36,1.68,118.72,28.36,high
392.29,12.59,60.89,5.09,low
361.24,7.6,49.42,1.8,low
343.69,18.14,88.73,17.34,moderate
472.32,36.6,115.75,24.93,high
375.44,19.14,33.77,7.33,low
395.11,13.66,63.58,5.62,low
469.74,40.33,111.72,26.05,high
467.25,46.17,115.67,24.96,high
389.89,17.32,31.58,1.67,normal
353.18,17.6,76.68,14.57,moderate
397.17,8.86,30.22,4.56,low
351.75,29.8,56.47,14.23,moderate
418.81,10.32,31.93,2.17,normal
374.57,16.48,69.17,1.76,low
377.73,5.98,44.54,2.1,low
262.45,38.26,90.18,21.45,high
467.23,0.06,106.1,25.39,high
470.84,46.37,112.68,26.9,high
353.72,26.1,86.26,0.78,moderate
418.68,16.38,79.55,12.15,moderate
373.01,9.91,41.49,1.43,low
390.21,12.71,36.4,4.99,normal
264.0,44.78,94.2,20.16,high
352.42,34.46,33.47,14.17,moderate
470.18,36.15,101.8,23.4,high
236.73,41.48,98.0,22.42,high
478.19,42.77,115.41,25.9,high
220.38,45.88,113.43,23.0,high
342.91,25.86,52.63,14.17,moderate
383.61,16.41,42.47,3.01,normal
369.15,6.35,59.29,2.37,low
338.13,1.67,106.98,27.27,high
461.31,49.78,111.02,27.8,high
209.34,46.67,113.47,23.86,high
393.56,11.39,34.56,0.62,normal
405.44,5.49,51.38,4.08,low
342.12,10.02,81.48,2.27,moderate
376.99,16.15,35.95,0.81,low
354.28,15.12,84.78,14.66,moderate
354.56,18.5,37.44,10.63,moderate
473.87,49.11,111.0,29.24,high
411.09,13.79,41.84,0.39,normal
356.28,27.44,55.45,0.4,moderate
465.09,1.35,102.57,26.52,high
401.06,10.43,53.98,2.45,normal
222.42,49.17,115.85,24.72,high
395.28,6.37,45.89,1.9,low
252.46,1.65,94.59,29.93,high
411.5,11.26,39.78,0.74,normal
399.85,31.04,89.58,2.09,moderate
418.51,9.03,47.25,2.08,low
476.69,39.02,109.57,26.73,high
472.09,40.21,108.73,21.08,high
381.26,13.04,48.65,9.1,low
392.39,11.59,40.1,4.09,normal
362.48,14.52,62.48,4.9,low
415.04,12.67,39.94,0.78,normal
382.16,10.91,53.51,2.36,normal
416.98,10.47,30.44,5.18,low
406.55,10.17,52.03,1.53,normal
270.48,43.75,119.82,23.84,high
254.31,40.84,90.3,24.16,high
347.41,13.38,86.6,4.76,moderate
463.48,43.39,92.97,27.1,high
398.43,14.89,41.66,4.45,normal
395.46,16.96,43.16,9.64,low
391.82,13.66,38.83,3.45,normal
393.8,17.74,52.57,3.83,normal
408.97,15.19,43.66,0.38,normal
266.8,42.87,118.63,20.16,high
400.33,13.58,47.12,7.86,low
368.3,11.05,68.11,2.0,low
408.96,18.45,46.07,4.64,normal
407.7,8.32,37.54,5.27,low
478.31,1.09,114.83,28.62,high
462.07,1.38,116.1,27.21,high
414.54,13.39,58.12,3.24,normal
388.27,11.73,31.29,7.14,low
395.49,10.55,63.0,1.33,low
353.95,29.42,56.58,18.04,moderate
409.76,12.09,38.36,1.55,normal
418.73,9.72,51.74,9.59,low
351.35,16.43,80.55,16.38,moderate
390.6,14.26,55.31,3.64,normal
404.68,12.85,50.43,5.69,low
351.88,30.51,77.35,3.98,moderate
411.46,18.02,35.22,4.73,normal
419.67,8.29,66.68,0.69,low
461.18,1.62,107.71,25.16,high
392.89,18.29,51.87,1.74,normal
478.81,46.34,111.29,26.25,high
329.14,44.93,96.72,22.59,high
463.91,42.55,96.03,28.95,high
386.12,17.52,61.06,8.68,low
408.25,15.13,35.31,1.96,normal
361.8,10.46,50.35,2.66,low
397.46,11.28,59.78,4.86,normal
341.3,31.41,34.4,15.13,moderate
352.48,15.21,58.09,13.5,moderate
396.99,16.06,32.86,2.43,normal
392.75,18.91,53.14,1.63,normal
469.85,35.49,94.94,23.27,high
397.92,9.41,35.34,5.06,low
214.06,1.24,108.42,21.81,high
383.51,13.54,54.57,0.97,normal
411.22,26.62,52.79,19.25,moderate
379.38,19.15,44.99,1.22,low
380.78,28.95,52.41,11.08,moderate
407.05,13.8,44.38,6.05,low
393.3,12.75,32.62,9.08,low
351.97,15.19,78.48,12.2,moderate
419.22,11.15,51.14,4.75,normal
403.86,13.64,30.31,3.86,normal
342.64,18.78,88.7,3.32,moderate
353.49,28.77,79.81,4.83,moderate
418.46,33.82,84.68,1.6,moderate
405.48,7.42,65.67,0.77,low
406.03,15.97,40.22,0.11,normal
413.28,18.67,38.97,3.6,normal
340.61,17.59,78.16,11.06,moderate
377.11,16.38,44.04,7.52,low
242.73,1.75,118.63,23.44,high
255.71,0.83,110.85,22.3,high
381.42,25.48,39.38,19.54,moderate
385.16,16.95,39.58,2.97,normal
468.35,44.61,116.61,27.4,high
212.04,41.01,95.61,25.79,high
415.0,6.22,60.19,0.67,low
232.45,41.11,95.79,27.17,high
201.15,0.08,92.53,20.58,high
413.51,15.73,41.45,1.96,normal
414.75,12.25,72.29,12.08,moderate
383.27,19.25,48.75,9.66,low
415.2,15.51,76.12,13.83,moderate
410.67,26.63,54.6,12.78,moderate
356.19,13.92,43.42,12.33,moderate
400.93,10.9,38.03,9.02,low
387.18,25.04,55.26,18.29,moderate
396.14,14.38,50.01,8.89,low
316.7,35.26,111.92,26.56,high
357.22,32.42,32.44,0.65,moderate
479.54,0.5,90.89,21.35,high
476.74,1.72,109.5,26.38,high
370.14,16.8,32.26,9.68,low
365.94,15.79,63.18,2.23,low
402.68,7.15,67.85,3.0,low
340.9,31.68,52.2,16.39,moderate
382.28,7.07,62.39,3.81,low
395.73,18.72,54.62,3.8,normal
327.69,39.85,99.04,26.66,high
392.07,30.71,76.8,19.32,moderate
477.05,47.05,96.89,25.27,high
340.85,15.64,57.07,18.47,moderate
375.99,6.52,37.34,0.15,low
400.07,17.55,30.85,4.16,normal
373.01,17.35,69.36,4.3,low
392.33,14.89,30.79,0.88,normal
410.6,14.63,47.67,2.68,normal
419.01,5.45,47.72,0.19,low
380.97,19.77,46.5,1.34,normal
470.74,43.0,108.76,28.41,high
472.28,1.59,110.53,20.64,high
381.4,30.08,89.09,3.34,moderate
403.88,18.16,57.57,1.34,normal
384.13,14.37,31.59,8.61,low
470.33,1.69,103.24,28.93,high
273.25,42.79,111.35,21.29,high
350.5,27.29,77.57,4.62,moderate
389.97,19.73,55.61,1.2,normal
252.94,1.0,110.99,22.53,high
418.06,34.27,57.82,14.51,moderate
419.36,11.73,63.38,2.69,low
390.32,15.08,34.68,3.86,normal
402.24,18.24,49.66,2.85,normal
401.63,28.36,49.35,10.48,moderate
372.04,10.81,51.78,3.19,low
415.41,19.71,75.48,13.09,moderate
379.41,12.1,48.9,1.94,low
379.16,5.04,30.99,3.87,low
402.49,12.36,53.2,2.1,normal
396.19,19.57,60.41,7.69,low
385.38,28.83,76.71,11.39,moderate
321.72,0.27,91.33,27.32,high
382.4,10.02,51.14,4.21,normal
343.09,26.43,82.0,4.83,moderate
400.55,11.95,34.59,0.41,normal
266.37,48.79,114.53,27.34,high
358.76,16.39,70.44,4.22,moderate
342.33,11.08,88.24,18.07,moderate
393.02,18.23,56.34,4.34,normal
364.12,18.04,36.2,4.34,low
410.46,18.06,85.12,15.25,moderate
408.88,11.91,42.74,3.06,normal
463.02,43.71,111.1,22.87,high
406.53,19.64,34.12,2.09,normal
370.58,9.1,42.0,1.03,low
346.14,18.01,82.04,19.78,moderate
387.43,29.06,70.85,14.05,moderate
341.41,11.01,75.06,16.32,moderate
365.75,7.6,49.7,0.9,low
390.65,33.22,76.72,4.11,moderate
394.5,7.53,37.87,3.02,low
402.92,12.69,43.68,3.88,normal
270.89,40.61,104.17,21.23,high
404.45,18.53,45.0,0.55,normal
392.31,16.9,32.14,2.29,normal
384.57,13.87,44.76,3.84,normal
387.3,10.11,47.79,2.58,normal
399.09,14.79,43.42,4.56,normal
463.0,45.67,99.12,27.09,high
380.77,17.12,68.41,8.47,low
462.13,48.77,103.21,21.77,high
267.16,46.66,104.47,23.6,high
394.16,18.51,75.01,16.54,moderate
471.2,1.82,91.53,26.2,high
246.98,38.64,114.69,21.02,high
277.79,43.7,94.12,21.43,high
382.74,19.45,66.43,3.54,low
469.79,0.7,101.32,28.3,high
405.71,12.22,61.09,0.06,low
403.8,14.39,32.02,2.88,normal
390.68,19.87,39.17,0.96,normal
403.88,19.55,37.09,4.17,normal
316.4,0.82,98.99,20.89,high
389.07,14.95,43.9,2.56,normal
352.7,29.29,74.3,3.23,moderate
368.75,12.34,33.31,6.4,low
347.28,17.37,72.23,14.2,moderate
298.09,0.61,96.66,29.62,high
378.3,10.78,38.81,7.67,low
396.58,11.66,36.48,4.68,normal
355.51,30.29,83.3,3.48,moderate
463.96,1.89,117.46,29.09,high
467.97,44.56,92.19,26.06,high
464.17,0.62,113.63,27.98,high
354.14,14.34,76.55,15.07,moderate
344.95,32.61,30.8,4.15,moderate
373.48,16.08,37.99,8.2,low
405.85,19.74,46.59,2.09,normal
405.74,14.19,59.99,1.91,normal
479.84,1.63,115.33,21.21,high
357.66,33.84,59.49,4.79,moderate
413.18,15.04,49.63,0.4,normal
397.06,9.57,50.59,6.04,low
409.99,5.85,54.11,9.48,low
389.79,28.7,77.37,19.97,moderate
411.52,15.41,40.14,2.02,normal
274.6,1.28,116.64,27.98,high
402.04,11.88,55.28,1.26,normal
416.08,6.94,51.86,0.21,low
399.08,14.44,34.59,5.88,low
473.75,41.41,95.06,26.41,high
354.04,32.63,54.5,11.07,moderate
361.13,9.47,39.53,0.57,low
465.53,1.66,104.04,24.64,high
417.98,32.14,86.08,12.91,moderate
417.71,18.78,56.06,0.5,normal
411.25,11.92,53.07,0.59,normal
479.45,41.27,97.29,26.61,high
207.7,44.26,104.49,20.38,high
413.1,5.28,69.56,3.18,low
404.66,9.17,60.44,4.23,low
371.24,14.23,46.15,1.42,low
339.27,0.93,94.68,22.51,high
391.41,28.42,85.31,16.06,moderate
397.25,15.38,34.05,2.16,normal
399.52,19.42,38.6,0.91,normal
403.77,15.99,41.04,4.82,normal
340.4,12.78,82.63,11.85,moderate
467.03,1.31,106.08,25.21,high
398.52,16.27,30.26,0.13,normal
410.53,32.61,59.77,11.52,moderate
463.68,1.85,93.15,26.06,high
411.12,31.26,34.69,11.72,moderate
380.32,13.99,65.14,9.36,low
406.76,11.15,58.28,6.06,low
382.63,14.02,32.27,4.1,normal
357.37,15.69,46.1,10.43,moderate
238.61,49.97,108.86,27.71,high
398.43,6.89,60.14,2.03,low
404.39,14.89,45.49,0.29,normal
356.69,15.88,45.05,13.56,moderate
418.6,13.39,49.62,1.73,normal
463.83,1.99,91.54,27.77,high
402.43,17.24,76.97,18.52,moderate
349.79,29.3,84.9,1.86,moderate
465.43,1.41,102.98,24.79,high
401.94,33.63,56.96,12.36,moderate
280.77,1.49,91.39,29.03,high
463.84,0.26,97.73,25.14,high
294.53,0.82,105.67,29.1,high
473.28,1.58,96.05,24.82,high
355.84,12.73,44.26,10.85,moderate
358.44,10.09,83.72,1.56,moderate
